,Player,Year,active_to,Agility,Sprint,Body Fat,Bench,Weight,Height (No Shoes),Vertical (Max Reach),Vertical (No Step Reach),big_man,Years_Played,Expected_Output,Weight_by_Height,Weight_by_BF,Height_by_BF,WBF_by_H
12,Hasheem Thabeet,2009,2014,12.085545746165963,3.5441649044416277,6.7,11.031493722435405,267.0,85.25,140.34189460089485,137.39226263805423,1,5,0,3.131964809384164,39.850746268656714,12.723880597014926,0.209841642228739
13,Eric Maynor,2009,2014,10.78,3.19,5.4,8.0,164.0,74.25,128.5,125.5,0,5,0,2.208754208754209,30.370370370370367,13.749999999999998,0.1192727272727273
14,Darren Collison,2009,2018,10.45,3.1,5.7,9.0,166.0,72.25,130.0,127.0,0,9,1,2.2975778546712804,29.12280701754386,12.675438596491228,0.13096193771626297
15,Omri Casspi,2009,2018,11.15,3.28,8.6,2.0,211.0,79.75,139.0,132.0,1,9,1,2.64576802507837,24.534883720930235,9.273255813953488,0.22753605015673978
16,Byron Mullens,2009,2014,11.1,3.45,8.5,10.0,258.0,83.75,143.5,139.5,1,5,0,3.080597014925373,30.352941176470587,9.852941176470589,0.26185074626865673
17,Damion James,2009,2014,11.23,3.09,8.2,14.0,224.0,78.25,143.0,136.0,0,5,0,2.862619808306709,27.31707317073171,9.542682926829269,0.23473482428115014
18,Rodrigue Beaubois,2009,2013,10.49,3.15,7.9,3.0,182.0,73.25,139.0,129.5,0,4,0,2.484641638225256,23.037974683544302,9.272151898734176,0.1962866894197952
19,Taj Gibson,2009,2018,11.56,3.41,6.6,12.0,214.0,80.5,139.0,134.5,1,9,1,2.658385093167702,32.42424242424243,12.196969696969697,0.17545341614906834
20,DeMarre Carroll,2009,2018,11.228577704555994,3.268161370613941,6.3,6.603195146648493,207.0,78.25,139.49576183822944,132.47514988215562,1,9,1,2.6453674121405752,32.85714285714286,12.420634920634921,0.16665814696485623
21,Greivis Vasquez,2009,2017,11.13,3.48,6.9,1.0,197.0,76.75,129.0,125.5,0,8,1,2.566775244299674,28.550724637681157,11.123188405797102,0.17710749185667754
22,Wayne Ellington,2009,2018,11.14,3.2,5.5,13.0,202.0,76.25,138.0,131.5,0,9,1,2.6491803278688524,36.72727272727273,13.863636363636363,0.14570491803278687
23,Wayne Ellington,2008,2018,12.05,3.2,5.4,7.0,194.0,75.75,136.37967417027625,130.96048289635203,0,10,1,2.561056105610561,35.925925925925924,14.027777777777777,0.1382970297029703
24,Toney Douglas,2009,2017,10.63,3.03,5.2,15.0,183.0,73.0,130.0,125.5,0,8,1,2.506849315068493,35.19230769230769,14.038461538461538,0.13035616438356165
25,James Harden,2009,2018,11.1,3.13,10.1,17.0,222.0,76.0,140.5,135.0,0,9,1,2.9210526315789473,21.980198019801982,7.524752475247525,0.29502631578947364
26,Jermaine Taylor,2009,2011,11.54,3.32,5.8,16.0,207.0,75.5,138.5,135.0,0,2,0,2.7417218543046356,35.689655172413794,13.017241379310345,0.15901986754966885
